GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project1,com.web.util,MD5Utils,78,48,0,2,9,10,2,4,2,3
Project1,com.web.util,SessionController,46,3,0,0,14,1,7,1,7,1
Project1,com.web.util,ConnectionUtil,3,32,0,2,1,11,0,4,0,3
Project1,com.web.repo,ReimbursementDao,383,562,71,21,26,118,42,17,1,12
Project1,com.web.repo,UserDao,155,314,32,14,12,63,21,10,1,7
Project1,com.web.controller,ReimbursementDataController,126,4,0,0,30,1,6,1,6,1
Project1,com.web.controller,ReimbursementController,102,68,0,0,23,19,2,9,2,9
Project1,com.web.controller,UserController,68,67,4,0,15,19,4,7,2,7
Project1,com.web.service,ReimbursementService,0,61,0,0,0,14,0,11,0,11
Project1,com.web.service,UserService,3,58,2,2,1,17,2,6,0,6
Project1,com.web.servlet,DataServlet,17,0,0,0,5,0,3,0,3,0
Project1,com.web.servlet,ViewServlet,25,0,0,0,5,0,3,0,3,0
Project1,com.web.servlet,RequestForwarder,232,194,68,36,30,21,52,19,1,2
Project1,com.web.model,Reimbursement,54,250,0,0,27,93,14,22,14,22
Project1,com.web.model,User,28,84,0,0,14,33,7,12,7,12
